Player Name,Player ID
Nick Pope,162653
Valentino Livramento,980634
Fabian Schär,101882
Dan Burn,99090
Lewis Hall,1136730
Sean Longstaff,866191
Bruno Guimarães,866469
Joelinton,560128
Jacob Murphy,372336
Alexander Isak,823941
Anthony Gordon,914902
Emil Krafth,150396
Lloyd Kelly,865167
Harvey Barnes,855647
Martin Dúbravka,42209
Matt Targett,368134
Kieran Trippier,69256
Miguel Almirón,333373
Joe Willock,888550
William Osula,1122603
Alex McCarthy,45502
Taylor Harwood-Bellis,980637
Jan Bednarek,286085
Jack Stephens,134361
Yukinari Sugawara,905347
Will Smallbone,970435
Flynn Downes,879810
Joe Aribo,818073
Kyle Walker-Peters,823085
Adam Armstrong,361352
Ben Brereton Díaz,867583
Samuel Edozie,1065214
Tyler Dibling,1174472
Cameron Archer,993451
Samuel Amo-Ameyaw,1407484
Carlos Alcaraz,1017392
Joe Lumley,591620
Charlie Taylor,166381
James Bree,555406
Nathan Wood,944200
Mads Hermansen,856640
James Justin,827681
Jannik Vestergaard,120538
Wout Faes,361696
Victor Kristiansen,1092409
Harry Winks,545780
Wilfred Ndidi,787885
Abdul Fatawu Issahaku,1103589
Facundo Buonanotte,1117025
Bobby Decordova-Reid,151499
Jamie Vardy,173827
Stephy Mavididi,605338
Boubakary Soumaré,887581
Kasey McAteer,1065134
Danny Ward,197428
Caleb Okoli,967722
Benjamin Nelson,1391844
Ricardo Pereira,221200
Hamza Choudhury,833057
Thomas Cannon,1005766
Guglielmo Vicario,553606
Pedro Porro,913654
Cristian Romero,829932
Micky van de Ven,998247
Destiny Udogie,983572
Pape Matar Sarr,1002711
Rodrigo Bentancur,791190
James Maddison,356398
Brennan Johnson,1085180
Dominic Solanke,361420
Heung-min Son,111505
Archie Gray,1142335
Lucas Bergvall,1391251
Timo Werner,232306
Dejan Kulusevski,928124
Djed Spence,945798
Richarlison,840217
Brandon Austin,859896
Ben Davies,94758
Radu Drăguşin,997103
Mark Flekken,171919
Mads Roerslev,826057
Nathan Collins,958916
Ethan Pinnock,855864
Kristoffer Ajer,576384
Christian Nørgaard,135256
Vitaly Janelt,814873
Mathias Jensen,799251
Bryan Mbeumo,927083
Yoane Wissa,805123
Kevin Schade,1006387
Mikkel Damsgaard,907072
Keane Lewis-Potter,972421
Frank Onyeka,885864
Fabio Carvalho,991604
Ben Mee,137774
Hákon Rafn Valdimarsson,1005959
Myles Peart-Harris,980649
Yehor Yarmolyuk,1031258
Ryan Trevitt,1177007
Dean Henderson,788134
Chris Richards,931844
