Player,Team,Position,Rating,Jersey Number,User Count,Home Score,Away Score,Match Date
Kevin Schade,Brentford vs Leicester City,F,10.0,7,1815,4,1,2024-11-30 17:00:00
Bryan Mbeumo,Southampton vs Brentford,F,10.0,19,16167,0,6,2025-01-04 16:45:00
Cole Palmer,Chelsea vs Brighton & Hove Albion,M,10.0,80,264989,5,3,2024-09-28 15:00:00
Justin Kluivert,Newcastle United vs Bournemouth,M,9.9,19,6441,1,5,2025-01-18 14:45:00
Amad Diallo,Manchester United vs Southampton,M,9.9,16,51067,3,2,2025-01-16 22:00:00
Bukayo Saka,Arsenal vs Southampton,F,9.9,7,178641,3,1,2024-10-05 12:30:00
Bruno Fernandes,Leicester City vs Manchester United,M,9.7,8,185251,0,4,2025-03-16 17:15:00
Mads Hermansen,Arsenal vs Leicester City,G,9.7,30,1710,4,2,2024-09-28 11:30:00
Bryan Mbeumo,Brentford vs Southampton,F,9.7,19,16167,3,2,2024-08-31 13:45:00
Noni Madueke,Wolverhampton vs Chelsea,M,9.7,11,27688,2,6,2024-08-25 12:30:00
