Match ID,Team,Player ID,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating,AverageX,AverageY
12436446,Home,318927,Joe Gomez,D,2,188,England,864345600,False,10,94,5.56,Unknown,Unknown
12436446,Home,262911,Andrew Robertson,D,26,178,Scotland,763344000,True,14,14,0,Unknown,Unknown
12436446,Home,869856,Dominik Szoboszlai,M,8,187,Hungary,972432000,False,46,34,7.18,Unknown,Unknown
12436446,Home,159665,Mohamed Salah,M,11,175,Egypt,708566400,False,46,0,6.18,Unknown,Unknown
12436446,Home,883537,Luis Díaz,F,7,178,Colombia,853113600,False,22,10,6.51,Unknown,Unknown
12436446,Home,862967,Cody Gakpo,F,18,193,Netherlands,926035200,True,6,20,8.46,Unknown,Unknown
12436446,Home,955245,Harvey Elliott,M,19,170,England,1049414400,True,10,10,7.64,Unknown,Unknown
12436446,Home,827362,Caoimhin Kelleher,G,62,188,Ireland,911779200,False,Unknown,Unknown,Unknown,Unknown,Unknown
12436446,Home,979118,Tyler Morton,M,80,178,England,1036022400,False,Unknown,Unknown,Unknown,Unknown,Unknown
12436446,Home,845386,Federico Chiesa,F,14,175,Italy,877737600,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436446,Away,825719,Issa Diop,D,31,194,France,852768000,False,0,14,6.71,Unknown,Unknown
12436446,Away,352770,Alex Iwobi,M,17,183,Nigeria,831081600,False,72,44,7.32,Unknown,Unknown
12436446,Away,285949,Andreas Pereira,M,18,177,Brazil,820454400,False,0,28,6.45,Unknown,Unknown
12436446,Away,355528,Harry Wilson,M,8,173,Wales,858988800,True,40,26,6.95,Unknown,Unknown
12436446,Away,1015256,Rodrigo Muniz,F,9,184,Brazil,988934400,False,0,0,12,Unknown,Unknown
12436446,Away,867445,Emile Smith Rowe,M,32,182,England,964742400,True,0,2,7.49,Unknown,Unknown
12436446,Away,286165,Adama Traoré,F,11,178,Spain,822528000,False,Unknown,Unknown,8,Unknown,Unknown
12436446,Away,1546231,Joshua King,D,24,172,England,1167782400,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436446,Away,836698,Ryan Sessegnon,M,30,178,England,958608000,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436446,Away,891920,Carlos Vinícius,F,12,190,Brazil,796089600,True,Unknown,Unknown,Unknown,Unknown,Unknown
