x,y
57,14
61,40
67,44
72,61
56,63
65,71
70,74
21,63
79,63
66,77
15,65
16,75
20,70
62,75
62,75
69,45
75,64
99,0
40,37
40,37
73,89
55,66
72,86
13,11
11,12
11,11
38,90
20,66
39,69
74,84
41,97
67,81
29,78
26,78
60,77
53,48
53,51
49,63
47,64
59,64
82,52
66,65
66,70
69,72
69,73
54,81
84,92
88,72
80,79
61,75
59,61
64,76
66,80
75,61
82,47
68,39
68,39
31,51
27,33
65,34
62,37
71,43
58,81
58,83
52,76
57,75
54,64
57,79
24,52
69,66
8,42
70,84
67,86
33,80
33,91
32,83
34,85
38,94
76,78
47,96
70,79
70,78
45,76
74,66
75,64
81,56
97,48
