name,home,away,period,groupName
Ball possession,57%,43%,ALL,Match overview
Expected goals,1.92,0.78,ALL,Match overview
Big chances,2,2,ALL,Match overview
Total shots,22,11,ALL,Match overview
Goalkeeper saves,2,4,ALL,Match overview
Corner kicks,13,5,ALL,Match overview
Fouls,10,15,ALL,Match overview
Passes,477,366,ALL,Match overview
Tackles,25,33,ALL,Match overview
Free kicks,15,9,ALL,Match overview
Yellow cards,1,3,ALL,Match overview
Red cards,0,1,ALL,Match overview
Total shots,22,11,ALL,Shots
Shots on target,7,4,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,9,4,ALL,Shots
Blocked shots,6,3,ALL,Shots
Shots inside box,17,7,ALL,Shots
Shots outside box,5,4,ALL,Shots
Big chances scored,0,1,ALL,Attack
Big chances missed,2,1,ALL,Attack
Touches in penalty area,43,21,ALL,Attack
Fouled in final third,1,1,ALL,Attack
Offsides,2,1,ALL,Attack
Accurate passes,414,295,ALL,Passes
Throw-ins,18,17,ALL,Passes
Final third entries,58,34,ALL,Passes
Final third phase,138/173 (80%),69/96 (72%),ALL,Passes
Long balls,17/28 (61%),37/63 (59%),ALL,Passes
Crosses,9/28 (32%),3/12 (25%),ALL,Passes
Duels,47%,53%,ALL,Duels
Dispossessed,15,10,ALL,Duels
Ground duels,47/104 (45%),57/104 (55%),ALL,Duels
Aerial duels,9/16 (56%),7/16 (44%),ALL,Duels
Dribbles,7/25 (28%),15/30 (50%),ALL,Duels
Tackles won,64%,76%,ALL,Defending
Total tackles,25,33,ALL,Defending
Interceptions,5,11,ALL,Defending
Recoveries,51,40,ALL,Defending
Clearances,14,25,ALL,Defending
Errors lead to a shot,0,1,ALL,Defending
Total saves,2,4,ALL,Goalkeeping
Goals prevented,-0.13,-3.24,ALL,Goalkeeping
Big saves,2,0,ALL,Goalkeeping
High claims,1,2,ALL,Goalkeeping
Goal kicks,7,11,ALL,Goalkeeping
Ball possession,61%,39%,1ST,Match overview
Expected goals,1.15,0.25,1ST,Match overview
Big chances,1,1,1ST,Match overview
Total shots,12,5,1ST,Match overview
Goalkeeper saves,1,1,1ST,Match overview
Corner kicks,12,2,1ST,Match overview
Passes,256,168,1ST,Match overview
Tackles,17,22,1ST,Match overview
Free kicks,4,3,1ST,Match overview
Yellow cards,0,1,1ST,Match overview
Red cards,0,0,1ST,Match overview
Total shots,12,5,1ST,Shots
Shots on target,2,2,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,5,3,1ST,Shots
Blocked shots,5,0,1ST,Shots
Shots inside box,9,4,1ST,Shots
Shots outside box,3,1,1ST,Shots
Big chances scored,0,1,1ST,Attack
Big chances missed,1,0,1ST,Attack
Fouled in final third,0,0,1ST,Attack
Offsides,1,1,1ST,Attack
Accurate passes,226,129,1ST,Passes
Throw-ins,10,8,1ST,Passes
Final third entries,38,16,1ST,Passes
Long balls,4/7 (57%),15/32 (47%),1ST,Passes
Crosses,7/23 (30%),2/5 (40%),1ST,Passes
Duels,48%,52%,1ST,Duels
Dispossessed,11,7,1ST,Duels
Ground duels,25/54 (46%),29/54 (54%),1ST,Duels
Aerial duels,6/10 (60%),4/10 (40%),1ST,Duels
Dribbles,4/15 (27%),4/14 (29%),1ST,Duels
Tackles won,59%,73%,1ST,Defending
Total tackles,17,22,1ST,Defending
Interceptions,3,5,1ST,Defending
Recoveries,24,23,1ST,Defending
Clearances,4,18,1ST,Defending
Total saves,1,1,1ST,Goalkeeping
Goal kicks,3,5,1ST,Goalkeeping
Ball possession,53%,47%,2ND,Match overview
Expected goals,0.77,0.54,2ND,Match overview
Big chances,1,1,2ND,Match overview
Total shots,10,6,2ND,Match overview
Goalkeeper saves,1,3,2ND,Match overview
Corner kicks,1,3,2ND,Match overview
Passes,221,198,2ND,Match overview
Tackles,8,11,2ND,Match overview
Free kicks,11,6,2ND,Match overview
Yellow cards,1,2,2ND,Match overview
Red cards,0,1,2ND,Match overview
Total shots,10,6,2ND,Shots
Shots on target,5,2,2ND,Shots
Hit woodwork,1,0,2ND,Shots
Shots off target,4,1,2ND,Shots
Blocked shots,1,3,2ND,Shots
Shots inside box,8,3,2ND,Shots
Shots outside box,2,3,2ND,Shots
Big chances scored,0,0,2ND,Attack
Big chances missed,1,1,2ND,Attack
Fouled in final third,1,1,2ND,Attack
Offsides,1,0,2ND,Attack
Accurate passes,188,166,2ND,Passes
Throw-ins,8,9,2ND,Passes
Final third entries,20,18,2ND,Passes
Long balls,13/21 (62%),22/31 (71%),2ND,Passes
Crosses,2/5 (40%),1/7 (14%),2ND,Passes
Duels,45%,55%,2ND,Duels
Dispossessed,4,3,2ND,Duels
Ground duels,22/50 (44%),28/50 (56%),2ND,Duels
Aerial duels,3/6 (50%),3/6 (50%),2ND,Duels
Dribbles,3/10 (30%),11/16 (69%),2ND,Duels
Tackles won,75%,82%,2ND,Defending
Total tackles,8,11,2ND,Defending
Interceptions,2,6,2ND,Defending
Recoveries,27,17,2ND,Defending
Clearances,10,7,2ND,Defending
Total saves,1,3,2ND,Goalkeeping
Goal kicks,4,6,2ND,Goalkeeping
