x,y
20,14
30,17
28,31
59,61
58,30
67,33
33,49
73,37
44,34
37,28
37,28
36,53
37,39
32,5
19,21
29,27
35,7
46,24
64,28
45,19
38,33
32,53
3,33
35,25
52,40
45,51
95,49
96,45
29,31
31,36
46,49
46,49
51,29
47,38
57,72
57,72
12,66
8,66
12,38
22,23
28,4
28,16
38,5
69,32
63,63
34,23
72,45
32,38
36,47
38,54
30,43
30,42
33,31
60,10
68,14
72,23
76,26
8,25
29,13
24,28
21,18
11,36
25,25
26,20
54,27
52,30
63,15
30,34
42,36
52,26
34,49
56,32
36,21
52,30
59,37
30,90
53,18
90,52
92,53
15,27
20,26
10,30
11,28
21,28
51,46
53,30
22,21
39,30
85,53
30,28
40,47
31,35
37,0
56,72
33,35
39,31
55,38
47,48
61,53
42,60
43,62
42,65
